#CRTS ID,RA (J2000),Dec (J2000),UT Date,Mag,CSS images,SDSS,Others,Followed,Last,LC,FC,Classification
CSS090319:152356-081918,230.98392,-8.32174,20090319.46,18.08,903190070824102772,no,2772,yes,2016-09-03,2772,no,SN 2009br PQ mag 18 gal
CSS120328:152416+050318,231.06534,5.05489,20120328.42,18.94,1203281040834151830,yes,15183,no,2016-06-02,15183,yes,"SN SDSS mag 20,8"
CSS090329:152419+220920,231.08042,22.15563,20090329.37,15.48,903291210784144089,yes,44089,yes,2016-07-10,44089,no,"CV SDSS_J15241 18,9 eclipsing"
CSS130508:152429+483255,231.12114,48.5485,20130508.28,17.56,1305081490564112715,yes,11271,no,2016-07-09,11271,yes,"SN 2013ck SDSS mag 21,1"
CSS100506:152502-013021,231.25732,-1.50586,20100506.33,16.74,1005060010834124002,yes,12400,yes,2016-07-01,12400,yes,"CV SDSS mag 22,6"
CSS150925:152510+360054,231.28996,36.01507,20150925.13,16.93,1509251350694128317,yes,12831,no,2016-07-15,12831,yes,"CV SDSS mag 20,1"
CSS160514:152521+245551,231.33589,24.93077,20160514.33,18.47,1605141230764138402,yes,13840,no,2016-07-11,13840,yes,"HPM SDSS mag 20,5"
CSS100706:152538-075641,231.40768,-7.94484,20100706.21,17.83,1007060070824111635,no,11163,no,2016-09-03,11163,yes,CV mag 21
CSS090601:152614+081802,231.55824,8.30052,20090601.35,12.7,906011070824151155,yes,51155,no,2016-07-07,51155,no,"CV QW Ser SDSS mag 17,8"
CSS090331:152625-144145,231.60499,-14.69582,20090331.39,15.84,903310150804155525,yes,55525,yes,2016-07-05,55525,no,CV PQ burst mag 21 obj
CSS140226:152630+233623,231.6248,23.60636,20140226.52,18.83,1402261230764117771,yes,11777,no,2016-07-11,11777,yes,"SN SDSS mag 22,5"
CSS160205:152640+181454,231.66598,18.24838,20160205.52,20.31,1602051180804123037,yes,12303,no,2016-09-05,12303,yes,"AGN SDSS mag 20,9"
CSS140506:152646-205429,231.69242,-20.90793,20140506.32,18.58,1405060210784146015,no,14601,no,2016-06-05,14601,yes,SN mag 21
CSS120610:152653+162155,231.72291,16.36518,20120610.3,19.47,1206101150804138903,yes,13890,no,2016-09-05,13890,yes,"AGN SDSS mag 20,2"
CSS160615:152721+213442,231.83884,21.57821,20160615.29,18.91,1606151210784125497,yes,12549,no,2016-07-10,12549,yes,"SN SDSS mag 21,9"
CSS120501:152722+192749,231.8404,19.46373,20120501.44,19.99,1205011180804142223,yes,14222,yes,2016-09-05,14222,yes,"SN SDSS mag 21,7"
CSS120101:152731+181727,231.87791,18.2909,20120101.53,16.86,1201011180804126761,yes,12676,yes,2016-09-05,12676,yes,"CV SDSS mag 19,7"
CSS081230:152737+164406,231.90315,16.73499,20081230.51,18.73,812301150804143862,yes,43862,yes,2016-09-05,43862,no,"CV SDSS mag >22,5 obj?"
CSS120101:152747+211442,231.94454,21.24498,20120101.53,18.43,1201011210784128966,yes,12896,yes,2016-07-10,12896,yes,"AGN mag 19,3"
CSS140915:152748+353713,231.9502,35.62038,20140915.16,17.68,1409151350694129846,yes,12984,no,2016-07-15,12984,yes,"CV SDSS mag 20,3"
CSS130410:152750+084408,231.95822,8.73542,20130410.45,18.65,1304101090824105434,yes,10543,no,2016-07-07,10543,yes,"AGN SDSS mag 20,1"
CSS120328:152754+185519,231.97392,18.92181,20120328.45,19.46,1203281180804139974,yes,13997,no,2016-09-05,13997,yes,"SN SDSS mag 20,5"
CSS130324:152808+460030,232.03276,46.00832,20130324.39,18.79,1303241460584112024,yes,11202,no,2016-07-12,11202,yes,"SN SDSS mag 21,1"
CSS130605:152810+441147,232.04109,44.1964,20130605.3,19.53,1306051430624132149,yes,13214,no,2016-07-12,13214,yes,SN SDSS mag 21
CSS130609:152852+170156,232.21749,17.03235,20130609.36,19.83,1306091180804104464,yes,10446,no,2016-09-05,10446,yes,"AGN SDSS mag 21,0"
CSS090419:152858+034912,232.24115,3.81994,20090419.33,17.39,904191040834124598,yes,24598,no,2016-06-02,24598,no,"CV Ser mag 19,4"
CSS130511:152906-003058,232.27655,-0.51599,20130511.34,18.81,1305110010834146582,yes,14658,no,2016-07-01,14658,yes,"AGN SDSS mag 21,3"
CSS110602:153001+245229,232.50583,24.87474,20110602.31,19.09,1106021230774137681,yes,13768,no,2016-07-15,13768,yes,"SN 2011et SDSS mag 21,2"
CSS130314:153009-015813,232.53722,-1.97039,20130314.5,18.8,1303140010834117600,yes,11760,no,2016-07-01,11760,yes,"AGN SDSS mag 19,3"
CSS100506:153015+094946,232.56262,9.82956,20100506.36,16.72,1005061090834125680,yes,12568,yes,2016-07-07,12568,yes,"CV SDSS_J153015 mag 18,5"
CSS110920:153024+220646,232.59852,22.11284,20110920.12,17.73,1109201210794130197,yes,13019,yes,2016-07-10,13019,yes,"CV SDSS mag 19,2"
CSS150320:153121+281910,232.83651,28.31947,20150320.51,19.81,1503201290744101883,yes,10188,no,2016-07-15,10188,yes,SN SDSS mag 22
CSS120127:153128-042103,232.86786,-4.35073,20120127.54,18.95,1201270040834130467,no,13046,yes,2016-09-03,13046,yes,SN DSS mag 18
CSS080401:153151+152447,232.96166,15.41301,20080401.43,18.55,804011150814123270,yes,23270,yes,2016-07-10,23270,no,"CV SDSS 22,6 mag"
CSS160527:153151+372448,232.96435,37.41322,20160527.39,16.19,1605271380674109645,yes,10964,no,2016-07-15,10964,yes,"SN (ASASSN) SDSS mag 18,4"
CSS160513:153303+343809,233.26317,34.63593,20160513.38,18.97,1605131350694112265,yes,11226,no,2016-07-15,11226,yes,"AGN mag 20,9"
CSS110611:153318+273428,233.32325,27.57445,20110611.38,18.93,1106111260764139610,yes,13961,no,2016-07-04,13961,yes,"SN 2011ew SDSS mag 21,5"
CSS110607:153351+393454,233.46367,39.58159,20110607.34,18.88,1106071400654101671,yes,10167,no,2016-07-14,10167,yes,"AGN SDSS nmag 20,5"
CSS080409:153411+212644,233.54593,21.44544,20080409.28,19.72,804091210794129026,yes,29026,no,2016-07-10,29026,no,"SN SDSS mag 22,3 gal"
CSS150325:153427+021645,233.61052,2.27923,20150325.43,14.4,1503251010844136382,yes,13638,no,2016-07-07,13638,yes,HPM LHS_398
CSS100410:153432+284746,233.6345,28.79609,20100410.37,19.85,1004101290744110897,yes,11089,no,2016-07-15,11089,yes,"SN SDSS mag 21,2"
CSS100531:153447+020550,233.69754,2.09713,20100531.3,17.52,1005311010844137345,yes,13734,no,2016-07-07,13734,yes,"SN 2010eq SDSS mag 20,5"
CSS120328:153451+072931,233.71298,7.49183,20120328.41,18.83,1203281070834142673,yes,14267,no,2016-06-02,14267,yes,"CV SDSS mag 21,2"
CSS120616:153502+144656,233.75891,14.78225,20120616.34,19.84,1206161150814110505,yes,11050,yes,2016-07-10,11050,yes,"SN SDSS mag 21,1"
CSS130521:153551+374055,233.96065,37.68202,20130521.33,17.04,1305211380674115604,yes,11560,no,2016-07-15,11560,yes,"Blazar SDSS mag 20,0"
CSS110330:153559+211843,233.99481,21.31189,20110330.5,19.17,1103301210794125313,yes,12531,yes,2016-07-10,12531,yes,"SN 2011bw SDSS mag 20,7"
CSS130606:153620+523634,234.08294,52.60948,20130606.34,18.33,1306061520534131582,yes,13158,no,2016-07-09,13158,yes,"SN SDSS mag 20,0"
CSS140605:153631+465414,234.13017,46.90393,20140605.36,18.07,1406051460594128650,yes,12865,no,2016-07-09,12865,yes,"SN (spec) SDSS mag 19,0"
CSS080427:153634+332852,234.14338,33.48113,20080427.41,15.39,804271320724132848,yes,32848,yes,2016-07-15,32848,no,"CV known SDSS mag 19,0 J153634+332851"
CSS120401:153635+330059,234.14547,33.01628,20120401.46,19.81,1204011320724136527,yes,13652,no,2016-07-15,13652,yes,"SN SDSS mag 17,5"
CSS160503:153646-222951,234.19155,-22.49742,20160503.35,17.67,1605030210794103494,no,10349,no,2016-05-29,10349,yes,"CV mag 20,5"
CSS160607:153712+231329,234.29801,23.22481,20160607.29,19.71,1606071230774110988,yes,11098,no,2016-07-15,11098,yes,"AGN SDSS mag 20,6"
CSS150524:153738+131946,234.40706,13.32936,20150524.37,17.96,1505241120834142545,yes,14254,no,2016-07-10,14254,yes,"Flare SDSS mag 21,5"
CSS120516:153745+372623,234.4392,37.4398,20120516.39,16.98,1205161380684113569,yes,11356,no,2016-07-14,11356,yes,"Flare SDSS mag 19,2"
CSS110624:153755+070942,234.47792,7.16164,20110624.26,16.36,1106241070834132854,yes,13285,yes,2016-06-02,13285,yes,"SN SDSS mag 18,1"
CSS120527:153833-151719,234.63679,-15.28853,20120527.25,17.21,1205270150814144994,yes,14499,no,2016-07-05,14499,yes,"CV MLS120514 SDSS mag 19,5"
CSS160430:153851-053413,234.71429,-5.57015,20160430.39,18.47,1604300040844101938,no,10193,no,2016-09-03,10193,yes,SN mag >21
CSS150612:153924+283045,234.85165,28.51249,20150612.38,18.38,1506121290744104741,yes,10474,no,2016-07-15,10474,yes,"SN SDSS mag 21,6"
CSS090529:153930+242606,234.87453,24.43504,20090529.29,16.96,905291230774135764,yes,35764,no,2016-07-15,35764,no,"SN 2009er SDSS_mag 17,3 gal z=0,035"
CSS120813:153936-024101,234.90189,-2.68354,20120813.18,17.69,1208130010844101062,yes,10106,no,2016-07-01,10106,yes,"SN SDSS 20,2"
CSS100706:153957-074145,234.98849,-7.69591,20100706.21,18.67,1007060070834117534,no,11753,yes,2016-09-03,11753,yes,"AGN mag 20,5"
CSS150510:154006+150013,235.02604,15.00373,20150510.38,18.99,1505101150814113637,yes,11363,no,2016-07-10,11363,yes,"SN SDSS mag >22,5"
CSS120127:154022+012231,235.09359,1.37532,20120127.54,18.95,1201271010844132020,yes,13202,no,2016-07-07,13202,yes,CV SDSS mag >22
CSS160327:154023+324034,235.09428,32.67611,20160327.5,19.22,1603271320724123272,yes,12327,no,2016-07-15,12327,yes,"SN SDSS mag 21,0"
CSS120530:154029+383518,235.12133,38.58823,20120530.39,18.84,1205301380684129929,yes,12992,no,2016-07-14,12992,yes,SN SDSS mag 21
CSS110330:154031+152432,235.12996,15.40876,20110330.5,19.29,1103301150814122387,yes,12238,no,2016-07-10,12238,yes,"AGN SDSS mag 20,7"
CSS080507:154041+192909,235.16979,19.48573,20080507.35,19.46,805071180814139403,yes,39403,no,2016-09-05,39403,no,"SN SDSS mag 23,0"
CSS160708:154047+683151,235.19774,68.53093,20160708.24,16.03,1607081690324112179,no,11217,no,2016-07-08,11217,yes,CV (MASTER) mag 21
CSS130305:154128+304350,235.36652,30.73064,20130305.51,19.28,1303051290744139395,yes,13939,no,2016-07-15,13939,yes,"SN SDSS mag 22,0"
CSS120130:154151-070024,235.46334,-7.00669,20120130.54,18.9,1201300070844140751,no,14075,no,2016-09-03,14075,yes,AGN
CSS080409:154200+235603,235.49987,23.93426,20080409.28,19.08,804091230784123459,yes,23459,yes,2016-07-15,23459,no,SN SDSS mag 23
CSS160615:154208+172051,235.53195,17.34747,20160615.32,19.11,1606151180814106547,yes,10654,no,2016-09-05,10654,yes,"SN SDSS mag 20,9"
CSS140617:154222+121034,235.58982,12.17606,20140617.32,18.97,1406171120834114874,yes,11487,no,2016-07-10,11487,yes,"Flare SDSS mag 21,5"
CSS080411:154258-020705,235.74316,-2.11801,20080411.39,17.91,804110010844112923,yes,12923,yes,2016-07-01,12923,no,SN SDSS 23 mag object
CSS100409:154258+021653,235.74326,2.28129,20100409.36,16.79,1004091010844148312,yes,14831,yes,2016-07-07,14831,yes,"SN 2010bu SDSS mag 18,9"
CSS100705:154310+091934,235.79254,9.32615,20100705.29,20.11,1007051090844114842,yes,11484,yes,2016-07-10,11484,yes,"SN SDSS mag >22,5"
CSS130122:154310+045531,235.79344,4.92529,20130122.52,17.59,1301221040844144288,yes,14428,no,2016-07-07,14428,yes,"CV mag 21,9"
CSS160506:154311+433552,235.794,43.59787,20160506.34,19.33,1605061430634121570,yes,12157,no,2016-07-14,12157,yes,"SN SDSS mag 21,1"
CSS120101:154353+181209,235.9688,18.20261,20120101.53,18.77,1201011180814127125,yes,12712,yes,2016-09-05,12712,yes,"SN SDSS mag 21,9"
CSS100531:154354-143745,235.97547,-14.6291,20100531.24,17.92,1005310150824158354,yes,15835,no,2016-07-05,15835,yes,CV PQ mag 21
CSS130307:154404+144927,236.018,14.82425,20130307.48,18.42,1303071150824115553,yes,11555,no,2016-07-07,11555,yes,"Blazar SDSS mag 20,9"
CSS160525:154409+502351,236.03911,50.39758,20160525.25,16.08,1605251490574133437,yes,13343,no,2016-07-09,13343,yes,"Flare SDSS mag 18,1"
CSS110205:154418+084639,236.0752,8.77762,20110205.54,18.71,1102051090844106803,yes,10680,no,2016-07-10,10680,yes,CV SDSS mag >22
CSS130418:154424-013927,236.09885,-1.65755,20130418.44,18.98,1304180010844125972,yes,12597,yes,2016-07-01,12597,yes,Flare SDSS mag 23
CSS090322:154428+335725,236.11716,33.95692,20090322.37,17.94,903221350704102909,yes,2909,yes,2016-07-15,2909,no,"CV SDSS mag 21,9 gal"
CSS150501:154435+124728,236.14565,12.79119,20150501.34,17.15,1505011120834122816,yes,12281,no,2016-07-10,12281,yes,"Flare SDSS mag 19,7"
CSS120330:154450-115323,236.20894,-11.88962,20120330.43,14.89,1203300120834156131,no,15613,yes,2016-05-28,15613,yes,Var X-ray?
CSS150521:154512+372819,236.30071,37.47186,20150521.36,18.29,1505211380684110206,yes,11020,no,2016-07-14,11020,yes,"SN SDSS mag 19,2"
