Dec (J2000),SDSS,count,mag_info,mag_max,mag_mean,mag_median,mag_min,mag_std,magerr_max,magerr_mean,magerr_std,mjd_std,baseline,mag_baseline
31.17523,1,59,19.71,21.0086,19.94456779661017,19.8393,19.0776,0.4825936848268085,0.460055749798865,0.2738311805836497,0.0718562223626781,830.1310790140033,2238.822889965508,1.931000000000001
36.88246,0,3,12.47,12.4699,12.440166666666668,12.4436,12.407,0.0315902411091364,0.0507746055205071,0.0507318847321064,4.155701314472639e-05,6.989404587347556,12.10908917850611,0.0629000000000008
-0.65181,1,118,18.21,21.1334,20.330499152542373,20.30335,19.4364,0.4316403057975691,0.530679530049164,0.3348262165967935,0.0846989035862119,852.3305192890425,2923.9197154510985,1.6970000000000027
31.22721,1,4,14.26,14.2633,14.23,14.2495,14.1577,0.0492516666384671,0.0550145526632408,0.0548929285530538,0.0001777714117232,0.0064985224943363,0.0151100465955096,0.105599999999999
44.88341,1,44,19.16,21.2055,18.994722727272727,18.8672,17.9879,0.7201938252880848,0.577058216008813,0.1885158164806904,0.0959842459559985,470.6900837249456,2197.034300231404,3.217600000000001
18.20918,1,183,16.8,21.2481,19.970704918032787,20.0787,16.2133,0.8948840263297104,0.596785136653451,0.3079566044226956,0.1109751643377515,878.102451708845,2948.9217598497926,5.034800000000001
11.67151,1,109,12.99,18.6548,15.173111009174312,14.8981,12.6976,1.599574674737901,0.1861869990627889,0.0689509382238631,0.0264647039629732,708.2566966102127,2486.0272707520053,5.957200000000002
27.90305,1,65,17.82,21.2261,18.625713846153847,17.9551,17.1295,1.284178000692091,0.595414109357109,0.1908595262557685,0.1432810183049373,1022.919456742294,3056.7376518404053,4.096599999999999
-15.56819,0,80,13.78,13.9619,13.80647,13.7866,13.7456,0.0560272975963446,0.0661176632185303,0.0541278973849027,0.0027487373203594,273.5085736583316,884.7496787501004,0.2163000000000003
12.55494,1,2,18.44,20.5291,20.3286,20.3286,20.1281,0.2835498192558067,0.3714595312725349,0.3255576908227169,0.0649150053020184,33.011090053013966,46.68473126169556,0.4009999999999998
28.29631,1,372,15.78,21.077,18.905547043010756,18.84155,17.7552,0.5513386901271558,0.52207024622074,0.1719615090295279,0.0600586524588535,862.106048416213,2977.9579173032034,3.321800000000003
-20.38399,1,74,16.36,18.9462,17.86393918918919,18.09645,16.1405,0.7766499925377709,0.518493740935868,0.1220567403094215,0.0560502361853843,716.8306095073665,2553.000126840197,2.8057000000000016
15.19271,1,434,15.6,18.4571,16.949560599078342,17.122999999999998,15.3764,0.6556674703163552,0.187118558076008,0.085770752938265,0.0165106207553408,893.3355126140069,3127.2617940739874,3.0807
29.71436,1,64,19.82,21.4812,20.368025,20.4708,18.5049,0.629917334712602,0.636047408409287,0.356029237265926,0.117793131869201,585.3270264466532,2673.764795243296,2.976300000000002
17.01031,1,208,18.72,21.0165,19.772092307692308,19.724400000000003,18.6858,0.4371385969964455,0.522552126353229,0.2600526453674723,0.0666925684183079,835.9367137943509,2951.960663865808,2.3307
-9.33468,0,38,18.25,21.0557,19.54740526315789,19.58365,18.1949,0.7610036072462614,0.5138259719007501,0.2460603296476329,0.0992621167344386,771.457473335359,2184.033538877491,2.860800000000001
51.84915,1,32,14.16,17.7689,16.17271875,16.7992,14.0991,1.3767870750263744,0.149224799809873,0.0781659758107374,0.0226736188418751,594.2780561043147,2273.933523206091,3.669799999999999
35.32872,1,320,16.78,19.0055,17.529239999999998,17.78085,15.9669,0.6240329752459922,0.530679530049164,0.1047741482929272,0.0397517825417108,854.8030207257249,2936.027781516299,3.0386000000000006
34.20991,1,99,12.65,12.8582,12.566739393939391,12.5814,11.5344,0.1748167756965421,0.0626445843431154,0.0511975943804099,0.0015886938998825,264.9408795320037,765.0735482175951,1.3238000000000003
-0.62471,1,28,17.64,21.1192,18.61134642857143,17.698549999999997,17.122,1.4407364054492329,0.4900362274932079,0.1928763454560347,0.1469251288670333,976.5069221035624,2663.865289097099,3.9972
3.46406,1,28,18.93,21.4127,19.66983928571429,19.37535,18.2651,1.0024164165171952,0.588682181068745,0.2731897871805371,0.1419841097852174,969.7460091419854,2903.040544710588,3.1476000000000006
33.08203,1,44,13.91,13.9882,13.895806818181818,13.9028,13.6814,0.0406801328444888,0.0724552727701475,0.0541085675420031,0.002921674637045,150.0855726437179,378.1235602433008,0.3068000000000008
43.96559,1,94,17.5,21.303,20.132031914893616,20.06675,18.7552,0.4420175389924466,0.581184995956866,0.3110928165363748,0.0810526071516357,763.1787412711016,2681.8251496646044,2.5478000000000023
39.92006,1,117,19.14,21.2885,20.06289829059829,20.1268,18.7347,0.5901690102730807,0.567523907442319,0.3017614459119326,0.0921780204535322,692.5270770327664,2923.0694758910904,2.553799999999999
24.64542,1,494,17.05,20.8661,19.010184615384613,19.2743,15.5988,0.8894367794458407,0.5488259651074701,0.1882229845584693,0.0629496587200776,925.6635241860542,3126.2429558797085,5.267299999999999
-22.04879,0,121,18.34,19.6734,18.792129752066117,18.7917,18.1413,0.3114870833717483,0.287288495851969,0.161860213274293,0.028054464161363,915.9791645872142,2923.0394031252,1.5320999999999998
-18.95487,0,96,16.26,18.3643,17.02119375,17.3485,14.7028,0.9790293047398904,0.150966441447394,0.0902163725041864,0.0195665504832467,849.7829731301456,2621.8074652080977,3.6615
